Target,Notes
ddx1,
ch25,
cyp7b1,
up463,
up690,
cry1a,
cry1b,
lgals8a,
lgals8b,
lgals3a,
lgals3b,
cxcr4a,
cxcr4b,
cxcr1,
cxcr2,
atg5 1,
atg16l1 1,
atp6v0ca 1,
irf8 2,
myd88,
tlr2,
ticam1,
traf6,
irak4,
cebpb,
Thpo,
tecpr1a,
tecpr1b,
